x,y
0,200
1,198
2,196
3,194
4,192
5,190
6,188
7,186
8,184
9,182
10,180
11,178
12,176
13,174
14,172
15,170
16,168
17,166
18,164
19,162
20,160
21,158
22,156
23,154
24,152
25,150
26,148
27,146
28,144
29,142
30,140
31,138
32,136
33,134
34,132
35,130
36,128
37,126
38,124
39,122
40,120
41,118
42,116
43,114
44,112
45,110
46,108
47,106
48,104
49,102
50,100
51,98
52,96
53,94
54,92
55,90
56,88
57,86
58,84
59,82
60,80
61,78
62,76
63,74
64,72
65,70
66,68
67,66
68,64
69,62
70,60
71,58
72,56
73,54
74,52
75,50
76,48
77,46
78,44
79,42
80,40
81,38
82,36
83,34
84,32
85,30
86,28
87,26
88,24
89,22
90,20
91,18
92,16
93,14
94,12
95,10
96,8
97,6
98,4
99,2
